0,Coco Weather,127675000,1,1
1,Coco Control,119600000,1,1
2,Coco Approach,120500000,1,1
3,Clearance,121300000,1,1
4,Coco Ground,121900000,1,1
5,Coco Radio,126800000,1,1
6,Coco Tower,118600000,1,1
7,Pavas Tower,118300000,1,1
8,Pavas Ground,121700000,1,1
9,Cenamar,124100000,1,1
10,CB USB,27455000,3,1
11,AM Radio,910000,1,1
12,DO NOT USE,0,1,1
13,DO NOT USE,0,1,1
14,DO NOT USE,0,1,1
15,DO NOT USE,0,1,1
16,SSTV 10m,28680000,1,1
17,SSTV 20m,14230000,1,1
18,Taxi,256637000,1,1
19,FT8 10m,28074000,1,1
20,70cm,439900000,1,1
21,CB USB,27455000,3,1
22,CB LSB,27460000,2,1
23,--,0,0,1
24,--,0,0,1
25,--,0,1,1
26,--,0,1,1
27,--,0,1,1
28,DO NOT USE,0,1,1
29,DO NOT USE,0,1,1
30,DO NOT USE,0,1,1
31,DO NOT USE,0,1,1
32,--,0,1,1
33,--,0,1,1
34,--,0,1,1
35,--,0,1,1
36,--,0,1,1
37,--,0,1,1
38,--,0,1,1
39,--,0,1,1
40,--,0,1,1
41,--,0,1,1
42,--,0,1,1
43,--,0,1,1
44,DO NOT USE,0,1,1
45,DO NOT USE,0,1,1
46,DO NOT USE,0,1,1
47,DO NOT USE,0,1,1
48,--,0,1,1
49,--,0,1,1
50,--,0,1,1
51,--,0,1,1
52,--,0,1,1
53,--,0,1,1
54,--,0,1,1
55,--,0,1,1
56,--,0,1,1
57,--,0,1,1
58,--,0,1,1
59,--,0,1,1
60,DO NOT USE,0,1,1
61,DO NOT USE,0,1,1
62,DO NOT USE,0,1,1
63,DO NOT USE,0,1,1
64,--,0,1,1
65,--,0,1,1
66,--,0,1,1
67,--,0,1,1
68,--,0,1,1
69,--,0,1,1
70,--,0,1,1
71,--,0,1,1
72,--,0,1,1
73,--,0,1,1
74,--,0,1,1
75,--,0,1,1
76,DO NOT USE,0,1,1
77,DO NOT USE,0,1,1
78,DO NOT USE,0,1,1
79,DO NOT USE,0,1,1
80,--,0,1,1
81,--,0,1,1
82,--,0,1,1
83,--,0,1,1
84,--,0,1,1
85,--,0,1,1
86,--,0,1,1
87,--,0,1,1
88,--,0,1,1
89,--,0,1,1
90,--,0,1,1
91,--,0,1,1
92,DO NOT USE,0,1,1
93,DO NOT USE,0,1,1
94,DO NOT USE,0,1,1
95,DO NOT USE,0,1,1
96,--,0,1,1
97,--,0,1,1
98,--,0,1,1
99,--,0,1,1
100,--,0,1,1
101,--,0,1,1
102,--,0,1,1
103,--,0,1,1
104,--,0,1,1
105,--,0,1,1
106,--,0,1,1
107,--,0,1,1
108,DO NOT USE,0,1,1
109,DO NOT USE,0,1,1
110,DO NOT USE,0,1,1
111,DO NOT USE,0,1,1
112,--,0,1,1
113,--,0,1,1
114,--,0,1,1
115,--,0,1,1
116,--,0,1,1
117,--,0,1,1
118,--,0,1,1
119,--,0,1,1
120,--,0,1,1
121,--,0,1,1
122,--,0,1,1
123,--,0,1,1
124,DO NOT USE,0,1,1
125,DO NOT USE,0,1,1
126,DO NOT USE,0,1,1
127,DO NOT USE,0,1,1

